series;model;train_time;val_MAE;val_RMSE;val_sMAPE;test_MAE;test_RMSE;test_sMAPE;error_occurred
C;RNN (16u, 3w, 50e, 16b);10,903246402740479;0,5509999620592275;0,6189315380444579;0,5483140172465981;0,6005180117958474;1,2288703463007649;0,5911320236455038;False
C;RNN (16u, 3w, 50e, 32b);8,971584558486938;0,49912172059755117;0,5655287901342102;0,49684989797457274;0,569781140779194;1,2231861020083905;0,5606383152029258;False
C;RNN (16u, 3w, 50e, 64b);8,510977983474731;0,5174667028478679;0,5836408131337911;0,515053654199816;0,5800268875925162;1,2249529626070117;0,5708067334416637;False
C;RNN (16u, 3w, 100e, 16b);11,582969665527344;0,4773375310124583;0,5440176637805486;0,4752303953917927;0,5599823881450451;1,2214016058095023;0,5509125438665549;False
C;RNN (16u, 3w, 100e, 32b);10,751232862472534;0,4381702649915549;0,5052452664277307;0,4363466248668551;0,5437534211811259;1,2196207075097485;0,5347958101098035;False
C;RNN (16u, 3w, 100e, 64b);10,24437403678894;0,5098292665223823;0,5749493994695137;0,5074784987014467;0,5762593721088608;1,2243130512865357;0,5670706509592377;False
C;RNN (16u, 3w, 200e, 16b);16,521488666534424;0,43854905412003886;0,5062486902414941;0,43672255306615976;0,5428212296335314;1,219343551047193;0,5338690157412572;False
C;RNN (16u, 3w, 200e, 32b);16,10530686378479;0,5071703029323278;0,5741541869192139;0,5048354170203903;0,5735585664447983;1,2237896813513038;0,5643858129709085;False
C;RNN (16u, 3w, 200e, 64b);15,3975191116333;0,5461748772698485;0,6127962621706364;0,5435309654212378;0,5974578214946549;1,2284960417459798;0,5880989112685936;False
C;RNN (16u, 6w, 50e, 16b);9,321995258331299;0,5123381001240503;0,5726861725320082;0,5099658014806531;0,5798288847270764;1,225849865717986;0,5706107019267648;False
C;RNN (16u, 6w, 50e, 32b);8,21418309211731;0,5890318751979522;0,650821807539664;0,5860315844191866;0,6307470783434419;1,235758219793189;0,6211135684314542;False
