ќборот розничной торговли (миллион рублей);;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;–оссийска€ ‘едераци€;;;;;;;;;;;;;;;;;;;;;;;
;;¬сего;;;;;;;;;;;;;;;;;;;;;;;
2006;март;662 911,6;;;;;;;;;;;;;;;;;;;;;;;
2006;апрель;678 786,5;;;;;;;;;;;;;;;;;;;;;;;
2006;май;689 015,3;;;;;;;;;;;;;;;;;;;;;;;
2006;июнь;700 288,1;;;;;;;;;;;;;;;;;;;;;;;
2006;июль;725 560,2;;;;;;;;;;;;;;;;;;;;;;;
2006;август;751 736,9;;;;;;;;;;;;;;;;;;;;;;;
2006;сент€брь;760 042,4;;;;;;;;;;;;;;;;;;;;;;;
2006;окт€брь;793 538,7;;;;;;;;;;;;;;;;;;;;;;;
2006;но€брь;798 910,6;;;;;;;;;;;;;;;;;;;;;;;
2006;декабрь;956 894;;;;;;;;;;;;;;;;;;;;;;;
2007;€нварь;727 740;;;;;;;;;;;;;;;;;;;;;;;
2007;февраль;728 474;;;;;;;;;;;;;;;;;;;;;;;
2007;март;801 615,4;;;;;;;;;;;;;;;;;;;;;;;
2007;апрель;826 250,7;;;;;;;;;;;;;;;;;;;;;;;
2007;май;847 079,2;;;;;;;;;;;;;;;;;;;;;;;
2007;июнь;869 215;;;;;;;;;;;;;;;;;;;;;;;
2007;июль;903 208,2;;;;;;;;;;;;;;;;;;;;;;;
2007;август;942 545,1;;;;;;;;;;;;;;;;;;;;;;;
2007;сент€брь;953 503,4;;;;;;;;;;;;;;;;;;;;;;;
2007;окт€брь;1 004 149;;;;;;;;;;;;;;;;;;;;;;;
2007;но€брь;1 023 422,1;;;;;;;;;;;;;;;;;;;;;;;
2007;декабрь;1 241 774,3;;;;;;;;;;;;;;;;;;;;;;;
2008;€нварь;944 047,8;;;;;;;;;;;;;;;;;;;;;;;
2008;февраль;964 336,6;;;;;;;;;;;;;;;;;;;;;;;
2008;март;1 049 390,6;;;;;;;;;;;;;;;;;;;;;;;
2008;апрель;1 076 891,9;;;;;;;;;;;;;;;;;;;;;;;
2008;май;1 115 861;;;;;;;;;;;;;;;;;;;;;;;
2008;июнь;1 138 991,5;;;;;;;;;;;;;;;;;;;;;;;
2008;июль;1 187 471,4;;;;;;;;;;;;;;;;;;;;;;;
2008;август;1 231 254,6;;;;;;;;;;;;;;;;;;;;;;;
2008;сент€брь;1 245 409;;;;;;;;;;;;;;;;;;;;;;;
2008;окт€брь;1 280 298,6;;;;;;;;;;;;;;;;;;;;;;;
2008;но€брь;1 247 058,9;;;;;;;;;;;;;;;;;;;;;;;
2008;декабрь;1 463 171,2;;;;;;;;;;;;;;;;;;;;;;;
2009;€нварь;1 103 088,2;;;;;;;;;;;;;;;;;;;;;;;
2009;февраль;1 073 052,6;;;;;;;;;;;;;;;;;;;;;;;
2009;март;1 154 454,2;;;;;;;;;;;;;;;;;;;;;;;
2009;апрель;1 151 362,3;;;;;;;;;;;;;;;;;;;;;;;
2009;май;1 175 163;;;;;;;;;;;;;;;;;;;;;;;
2009;июнь;1 186 653,6;;;;;;;;;;;;;;;;;;;;;;;
2009;июль;1 218 776;;;;;;;;;;;;;;;;;;;;;;;
2009;август;1 236 482,9;;;;;;;;;;;;;;;;;;;;;;;
2009;сент€брь;1 232 797,9;;;;;;;;;;;;;;;;;;;;;;;
2009;окт€брь;1 273 840,1;;;;;;;;;;;;;;;;;;;;;;;
2009;но€брь;1 265 166,8;;;;;;;;;;;;;;;;;;;;;;;
2009;декабрь;1 528 315,5;;;;;;;;;;;;;;;;;;;;;;;
2010;€нварь;1 196 411,5;;;;;;;;;;;;;;;;;;;;;;;
2010;февраль;1 166 650;;;;;;;;;;;;;;;;;;;;;;;
2010;март;1 270 907,2;;;;;;;;;;;;;;;;;;;;;;;
2010;апрель;1 283 252,6;;;;;;;;;;;;;;;;;;;;;;;
2010;май;1 320 554,6;;;;;;;;;;;;;;;;;;;;;;;
2010;июнь;1 339 815,5;;;;;;;;;;;;;;;;;;;;;;;
2010;июль;1 384 498,4;;;;;;;;;;;;;;;;;;;;;;;
