series;model;train_time;val_MAE;val_RMSE;val_sMAPE;test_MAE;test_RMSE;test_sMAPE;error_occurred
C;LSTM (32u, 3w, 200e, 64b);15,8083;0,4876;0,5545;0,4854;0,5636;1,2220;0,5545;False
C;LSTM (32u, 6w, 50e, 16b);10,2290;0,5115;0,5693;0,5092;0,5837;1,2271;0,5745;False
C;LSTM (32u, 6w, 50e, 32b);9,8685;0,5673;0,6234;0,5645;0,6183;1,2342;0,6088;False
C;LSTM (32u, 6w, 50e, 64b);9,1777;0,5011;0,5623;0,4988;0,5744;1,2239;0,5652;False
C;LSTM (32u, 6w, 100e, 16b);13,3316;0,5754;0,6382;0,5725;0,6219;1,2345;0,6123;False
C;LSTM (32u, 6w, 100e, 32b);11,8020;0,4916;0,5509;0,4894;0,5731;1,2253;0,5639;False
C;LSTM (32u, 6w, 100e, 64b);17,4391;0,5078;0,5636;0,5055;0,5814;1,2266;0,5722;False
C;LSTM (32u, 6w, 200e, 16b);19,4142;0,4802;0,5427;0,4781;0,5644;1,2236;0,5552;False
C;LSTM (32u, 6w, 200e, 32b);16,9514;0,5919;0,6528;0,5889;0,6342;1,2374;0,6246;False
C;LSTM (32u, 6w, 200e, 64b);15,7964;0,4985;0,5584;0,4963;0,5761;1,2256;0,5669;False
C;LSTM (32u, 12w, 50e, 16b);11,6670;0,3735;0,4293;0,3721;0,5228;1,2112;0,5140;False
C;LSTM (32u, 12w, 50e, 32b);10,2353;0,4635;0,5247;0,4615;0,5565;1,2202;0,5474;False
C;LSTM (32u, 12w, 50e, 64b);9,6539;0,5133;0,5757;0,5109;0,5788;1,2222;0,5696;False
C;LSTM (32u, 12w, 100e, 16b);14,7533;0,4836;0,5430;0,4814;0,5420;1,1966;0,5330;False
C;LSTM (32u, 12w, 100e, 32b);13,2864;0,3988;0,4500;0,3972;0,5220;1,2032;0,5131;False
C;LSTM (32u, 12w, 100e, 64b);12,4265;0,5489;0,6083;0,5462;0,6018;1,2278;0,5924;False
C;LSTM (32u, 12w, 200e, 16b);22,7716;0,5707;0,6320;0,5678;0,6038;1,2157;0,5944;False
C;LSTM (32u, 12w, 200e, 32b);20,0557;0,4686;0,5281;0,4666;0,5438;1,2040;0,5348;False
C;LSTM (32u, 12w, 200e, 64b);17,6644;0,7849;0,8320;0,7800;0,7626;1,2560;0,7517;False
C;LSTM (32u, 18w, 50e, 16b);11,4134;0,4840;0,5440;0,4818;0,5681;1,2243;0,5589;False
C;LSTM (32u, 18w, 50e, 32b);16,6885;0,4460;0,5089;0,4442;0,5514;1,2208;0,5424;False
C;LSTM (32u, 18w, 50e, 64b);9,9940;0,4540;0,5170;0,4521;0,5523;1,2193;0,5432;False
C;LSTM (32u, 18w, 100e, 16b);15,8253;0,5321;0,5897;0,5296;0,5869;1,2112;0,5776;False
C;LSTM (32u, 18w, 100e, 32b);13,2946;0,4018;0,4600;0,4002;0,5284;1,2115;0,5195;False
C;LSTM (32u, 18w, 100e, 64b);12,4315;0,5359;0,5948;0,5333;0,5950;1,2287;0,5857;False
C;LSTM (32u, 18w, 200e, 16b);26,1507;0,6094;0,6874;0,6058;0,6502;1,2068;0,6401;False
C;LSTM (32u, 18w, 200e, 32b);21,0487;0,6044;0,6607;0,6012;0,6395;1,2252;0,6298;False
C;LSTM (32u, 18w, 200e, 64b);18,5692;0,3816;0,4412;0,3801;0,5216;1,2117;0,5128;False
C;LSTM (32u, 24w, 50e, 16b);12,7824;0,5204;0,5790;0,5180;0,5850;1,2268;0,5757;False
C;LSTM (32u, 24w, 50e, 32b);11,0953;0,5188;0,5796;0,5164;0,5835;1,2245;0,5743;False
C;LSTM (32u, 24w, 50e, 64b);9,9855;0,4281;0,4913;0,4263;0,5452;1,2193;0,5362;False
C;LSTM (32u, 24w, 100e, 16b);17,4876;0,5423;0,6548;0,5391;0,6101;1,1693;0,6004;False
C;LSTM (32u, 24w, 100e, 32b);14,5431;0,5233;0,5786;0,5209;0,5900;1,2274;0,5807;False
C;LSTM (32u, 24w, 100e, 64b);13,0461;0,4847;0,5431;0,4826;0,5684;1,2241;0,5593;False
C;LSTM (32u, 24w, 200e, 16b);27,3427;0,5311;0,6498;0,5283;0,6363;1,2591;0,6264;False
C;LSTM (32u, 24w, 200e, 32b);21,9607;0,5130;0,5852;0,5103;0,5791;1,1706;0,5698;False
C;LSTM (32u, 24w, 200e, 64b);19,7294;0,5652;0,6228;0,5623;0,6115;1,2200;0,6020;False
C;LSTM (64u, 3w, 50e, 16b);9,9667;0,4362;0,5041;0,4344;0,5425;1,2193;0,5336;False
C;LSTM (64u, 3w, 50e, 32b);16,9564;0,4046;0,4757;0,4030;0,5327;1,2185;0,5238;False
C;LSTM (64u, 3w, 50e, 64b);10,3958;0,4846;0,5508;0,4825;0,5629;1,2212;0,5538;False
C;LSTM (64u, 3w, 100e, 16b);13,7405;0,5439;0,6114;0,5413;0,5953;1,2279;0,5859;False
C;LSTM (64u, 3w, 100e, 32b);12,5545;0,4882;0,5563;0,4860;0,5633;1,2217;0,5542;False
C;LSTM (64u, 3w, 100e, 64b);11,9456;0,5146;0,5816;0,5122;0,5779;1,2236;0,5687;False
C;LSTM (64u, 3w, 200e, 16b);19,1184;0,5120;0,5802;0,5096;0,5743;1,2237;0,5651;False
C;LSTM (64u, 3w, 200e, 32b);17,2433;0,5936;0,6605;0,5906;0,6307;1,2355;0,6211;False
C;LSTM (64u, 3w, 200e, 64b);16,2530;0,5919;0,6581;0,5889;0,6297;1,2352;0,6201;False
C;LSTM (64u, 6w, 50e, 16b);10,8034;0,4819;0,5431;0,4798;0,5660;1,2239;0,5569;False
C;LSTM (64u, 6w, 50e, 32b);9,8272;0,5425;0,6005;0,5399;0,6016;1,2304;0,5922;False
