series;model;train_time;val_MAE;val_RMSE;val_sMAPE;test_MAE;test_RMSE;test_sMAPE;stat_Ljung-Box_pvalue;stat_Durbin-Watson;error_occurred
C;ARMA(0,1);0,08100080490112305;0,5407938312656386;0,599252704626226;0,538213171913679;0,5984664116911634;1,2294455803865574;0,5891175666918077;3,807268045914752e-06;1,6719565829682186;False
C;ARMA(0,2);0,05874443054199219;0,5385528838747583;0,6004378439663051;0,5359815516626127;0,5950874308317904;1,228392558788641;0,5857574365654692;0,0026455389230168806;1,9714274509499803;False
C;ARMA(0,3);0,0930476188659668;0,5357781437001544;0,6002015693728239;0,5332232923647775;0,5918235201734291;1,2274828463115466;0,5825141755641836;0,01227590529081797;1,9659165247760568;False
C;ARMA(0,4);0,152374267578125;0,530506854823985;0,599657036906496;0,5279836237234974;0,5856460934432123;1,2259217431167413;0,5763761122920039;0,5185485812790886;2,057189544300217;False
C;ARMA(1,0);0,03717947006225586;0,5257477222260737;0,5965749503883312;0,5232607728451908;0,5824000051975013;1,2245701967518032;0,5731540038676964;0,03110698198928264;1,9282754971116394;False
C;ARMA(1,1);0,060999155044555664;0,5302518772165493;0,5984724892356945;0,5277350164539716;0,5863517109153613;1,22570777449876;0,5770802361765986;0,012669629028495649;2,003583006328612;False
C;ARMA(1,2);0,1597917079925537;0,5314401926174733;0,5991718267061545;0,5289141111290102;0,5873121902513229;1,2260918304606994;0,5780332829658857;0,01622422525462676;2,0066439064978216;False
C;ARMA(1,3);0,16274023056030273;0,5315195425487015;0,5994767649706151;0,5289918984902199;0,5871881879348108;1,2261359471945168;0,5779093832388923;0,022997755651503807;2,0016194922200823;False
C;ARMA(1,4);0,22900390625;0,5313598945058041;0,599396871449975;0,528830660560652;0,5867455814345834;1,2263496307915553;0,577467535836853;0,8612559081094721;2,0074249497021794;False
C;ARMA(2,0);0,06925559043884277;0,5314324778221197;0,5990065269713739;0,5289073767090876;0,5873660323191627;1,2260376947511749;0,5780875931221868;0,01144315665139166;2,0168970484584197;False
C;ARMA(2,1);0,13295292854309082;0,5462350987708151;0,6086597914584906;0,5435929649408813;0,6018902245243;1,231105106062786;0,5924968647696107;0,030790853095791725;2,0424764178125185;False
C;ARMA(2,2);0,20499968528747559;0,526707514478239;0,5966585204241421;0,5242145632711361;0,5829421933968593;1,2251850819392662;0,5736930250752097;0,037979216940490355;2,0206807903273614;False
C;ARMA(2,3);0,25400233268737793;0,5423733484326319;0,5970268191825431;0,5397530072930974;0,603137278037631;1,2258360987751726;0,5937259956887835;0,0148830088136972;2,008929648700153;False
C;ARMA(2,4);0,31493091583251953;0,5686801906882597;0,6309301916118785;0,5658448878877395;0,6263213264068066;1,2346410564429768;0,6167240943008231;0,07210612516834379;2,197009955613849;False
C;ARMA(3,0);0,07784390449523926;0,5346144172638524;0,6009214416655444;0,5320642338826372;0,5898157351276734;1,2270580823051715;0,580518090724125;0,021867427808209734;2,016757657191398;False
C;ARMA(3,1);0,20222806930541992;0,5274549908774423;0,593024356880585;0,5249645751444378;0,5859713494214055;1,2262923433812047;0,5767063305393254;0,012564029444362385;2,0127433581995446;False
C;ARMA(3,2);0,21782374382019043;0,5460753369504943;0,6158999808289696;0,543423195156262;0,5989018949402418;1,2311636518821676;0,5895188297432302;0,07102467682256498;1,8363384201314144;False
C;ARMA(3,3);0,26163220405578613;0,5423690643441214;0,6057532061511519;0,5397666178895772;0,5967577731355691;1,2277478440729626;0,5874144885564325;0,035124450791183634;2,06663889473867;False
C;ARMA(3,4);0,365633487701416;0,5439926339247841;0,6016760348121412;0,5411336016563766;0,5869535275630678;1,1734745856724542;0,5775375345820167;0,3153362458285734;1,9676382788157394;False
C;ARMA(4,0);0,11296272277832031;0,5401352624959515;0,6040521627441527;0,5375422716602936;0,5954334363979182;1,2286036325773357;0,586092139212378;0,035732289078271376;2,030182476091317;False
C;ARMA(4,1);0,21810340881347656;0,5473609727918362;0,6078991294643624;0,5447064458531906;0,6045503845749808;1,2317054561503706;0,5951323123960182;0,062457776354932104;2,0083463015971676;False
C;ARMA(4,2);0,26300477981567383;0,5917631584693834;0,6506301728395809;0,5887356672805525;0,6349439588886995;1,2371174635263786;0,6252707448498697;0,01394057041892211;2,088313271745375;False
C;ARMA(4,3);0,27201128005981445;0,4997386969534666;0,5756833364683044;0,4974292339886178;0,5786037581772163;1,214357140642481;0,5693753125070896;3,708821426442156e-05;1,9596575854530278;False
C;ARMA(4,4);0,380584716796875;0,5470225724766028;0,6084403290439018;0,544374695157722;0,6015327621957842;1,2302567029372928;0,5921430393416344;0,7882605747875495;1,995993605715659;False
